LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,FullBath,HalfBath,GarageCars,Neighborhood,KitchenQual,SalePrice,BathsTotal,Age
6751.396036691344,5,10,1955,1101.967931139683,3,1,1,Suburbs,Gd,396868.38086555875,3.5,69
4798.72262016239,7,3,1991,1551.4586952616187,3,0,1,Rural,Gd,398190.9873998772,3.0,33
5416.6125004134465,1,10,1978,500.0,2,1,2,Suburbs,Fa,229388.86904477887,2.5,46
4796.586775541206,1,7,1953,2336.7209428114925,3,1,0,Downtown,Gd,499798.4389649109,3.5,71
9704.556369017875,9,9,2006,1720.8733681887786,3,1,3,Downtown,Fa,654937.804868324,3.5,18
5973.005550524133,5,4,1998,2113.5172985244362,1,0,3,LuxuryEstate,Ex,1109541.3238301708,1.0,26
3884.5781420881995,5,8,1993,709.6980295954155,1,0,3,Suburbs,Ex,390772.3320668407,1.0,31
7645.089824206378,3,3,1963,2122.282580177628,3,1,2,Suburbs,Ex,579233.5979797618,3.5,61
3558.3127000579557,5,7,1952,2615.749455513874,3,0,0,LuxuryEstate,TA,799656.6220518103,3.0,72
6417.727190009511,3,3,2011,839.5608223113412,3,0,3,LuxuryEstate,TA,654514.5729164855,3.0,13
2080.659752240449,9,7,2013,1885.7008974518833,2,0,3,LuxuryEstate,Gd,1072639.6411892409,2.0,11
3343.627902203139,9,10,1994,1500.5549723436466,1,0,2,Downtown,Fa,515139.09355889005,1.0,30
6393.722471738247,6,10,2007,727.7830758758779,1,1,1,LuxuryEstate,Gd,710136.6102179039,1.5,17
7476.933159990821,1,6,1969,1746.441985925935,1,0,3,Downtown,Ex,598184.4610835881,1.0,55
6342.7365623799415,7,2,2007,1916.801602418674,3,1,0,LuxuryEstate,Gd,1001517.7153934867,3.5,17
5768.703435223519,7,3,2006,1199.4367236655767,2,1,0,Suburbs,Gd,499137.45702978986,2.5,18
5397.792608821423,10,6,2017,2082.9582601276115,1,0,0,Suburbs,Gd,663265.9611849453,1.0,7
3042.956019265145,10,4,2001,666.6182966054012,1,0,0,LuxuryEstate,Ex,950455.2870202936,1.0,23
4560.311583210583,4,6,1986,752.6219267751779,2,0,2,LuxuryEstate,Fa,480202.8407573897,2.0,38
5078.722458080425,8,1,1957,1568.2986977943763,3,1,3,Downtown,Gd,616854.5802658502,3.5,67
8114.244452437832,6,10,1993,1512.6926389861358,3,1,2,Rural,Ex,499989.54650357517,3.5,31
6687.236579136923,4,1,1954,1141.7132557879474,1,1,0,Downtown,TA,344195.30469099,1.5,70
2473.919689274532,4,3,2018,1904.797217985943,1,1,0,Suburbs,Fa,349532.5006260086,1.5,6
6648.16793878959,2,8,1980,1765.4471571079746,2,1,0,LuxuryEstate,Ex,847629.8969992197,2.5,44
5229.835439167367,2,8,1994,1929.0695354670079,1,1,2,Suburbs,Gd,450127.06334653916,1.5,30
4646.155999388083,4,4,1958,1438.4317823238662,2,1,0,Rural,Ex,306874.38041229756,2.5,66
7223.352577681736,5,6,1981,1801.2901339891705,1,0,3,Downtown,Fa,443696.2444016932,1.0,43
8061.999044991902,8,8,1982,1277.1748484850027,1,1,0,Suburbs,Gd,493918.429811211,1.5,42
7862.560238232397,6,7,2016,2526.909345043298,1,1,3,Downtown,TA,719436.7292075439,1.5,8
4321.564953554723,4,7,1979,1093.7271149390072,3,1,3,LuxuryEstate,TA,617707.1879117182,3.5,45
5381.575248297571,7,4,1978,2552.6487147291564,2,1,0,Suburbs,TA,536100.0704099707,2.5,46
6662.526862807128,8,9,1952,1517.4439735447042,2,0,2,Rural,Ex,492451.2561591143,2.0,72
7951.090254244718,2,10,2006,812.2445552156287,3,1,1,Downtown,Fa,383207.8754550122,3.5,18
5041.65152430942,7,6,1979,2184.0396752443003,3,1,1,Downtown,TA,604360.4135375554,3.5,45
5628.682046672366,2,3,1958,1562.9506941974796,3,0,3,Rural,Gd,290651.1287562135,3.0,66
3787.3300519879435,2,5,1975,1925.562049190119,2,0,2,Suburbs,Gd,358371.5046693534,2.0,49
3607.5867518386585,8,5,1951,2111.9279592712965,1,1,1,Suburbs,Gd,499388.71980082005,1.5,73
7625.0516447883965,2,5,2011,1668.9777770725127,3,1,0,Downtown,Ex,670413.0862532546,3.5,13
8712.480057141645,9,8,1952,1203.8795775935928,3,1,0,Rural,Fa,319885.86630291987,3.5,72
5855.979756839332,1,9,1995,1987.856688834625,3,1,3,Downtown,Fa,487957.3007183796,3.5,29
8007.0657957840485,9,9,2017,1500.3777537272979,1,1,2,Downtown,TA,645327.0693956468,1.5,7
6723.272050095268,1,6,1974,1842.9289093042094,1,1,2,LuxuryEstate,Fa,602372.9420465621,1.5,50
4709.760490789751,10,6,2000,500.0,3,0,1,Suburbs,Gd,514763.19768178766,3.0,24
6722.791211016828,10,9,1962,1723.4908585049259,1,0,1,Suburbs,Gd,570994.7890199585,1.0,62
9076.073132931939,2,4,1993,1180.707087427485,3,1,0,LuxuryEstate,Ex,850095.2633825772,3.5,31
5928.347921780097,6,6,1984,2326.6548185892652,1,1,3,Suburbs,Gd,542742.0304498938,1.5,40
9129.287311628013,6,4,2004,1811.5436739445477,2,1,2,Suburbs,Fa,469005.48963842494,2.5,20
1000.0,1,1,1958,1619.9288729246482,2,0,1,Suburbs,Gd,304448.5193914041,2.0,66
7643.805008750448,7,7,1951,1743.1549966751109,1,1,1,Rural,TA,347732.9932925979,1.5,73
6174.094136476342,8,10,2010,1000.7795735616409,2,0,3,LuxuryEstate,Ex,1118843.22220981,2.0,14
5401.985299068265,2,6,1990,2311.628345264027,2,0,3,Downtown,Ex,709291.1153740191,2.0,34
6183.521553071005,8,9,1993,2495.6852092084523,2,1,0,Rural,Fa,397963.65292259405,2.5,31
2024.8621707982143,9,7,2013,1696.4567552741082,3,0,3,Downtown,Gd,715563.1943347635,3.0,11
5560.656224324976,6,7,1980,2295.2017842868195,1,1,0,LuxuryEstate,Gd,910522.9708288317,1.5,44
6714.225143023493,5,2,1996,1215.425900663733,1,0,0,LuxuryEstate,Fa,569715.8346770096,1.0,28
8955.788089483032,9,9,1951,1101.4432168875096,1,1,3,LuxuryEstate,Fa,807357.7537175517,1.5,73
4963.459563452705,9,10,2018,1520.4623743644615,2,1,3,Suburbs,TA,559097.8709251931,2.5,6
4383.012794213625,1,9,2007,1717.4705191839494,3,0,3,Rural,Fa,250217.51809748693,3.0,17
4996.485912830927,3,6,1993,1303.0066593784397,1,0,3,LuxuryEstate,Gd,660889.7601966442,1.0,31
7830.804235404148,9,3,2023,1768.884095184242,2,0,3,Downtown,TA,683388.3004970426,2.0,1
6657.502219319369,2,1,2005,1653.194741036707,3,1,0,Suburbs,Ex,507416.8800450069,3.5,19
4940.479592465923,4,4,1992,1000.8466123544725,3,0,1,Suburbs,Gd,323792.1982815886,3.0,32
7026.534866226712,4,3,1983,1759.3965087258607,1,0,2,Rural,Ex,396181.39009487873,1.0,41
6194.155098696081,2,1,1979,1931.7641212607605,1,1,2,Rural,Ex,367508.251044876,1.5,45
7937.289981065778,3,3,2020,1585.7346587951954,2,1,0,Rural,Ex,436627.423877134,2.5,4
4595.8938122452955,3,4,2019,2076.324051630846,1,0,0,Suburbs,Gd,448361.2648666689,1.0,5
5344.6757068044635,1,8,2004,891.298103251524,2,0,1,LuxuryEstate,Ex,690688.4138500558,2.0,20
5215.783693735685,6,9,2016,1733.9752110659258,3,0,3,Downtown,Gd,648742.0448466428,3.0,8
3072.9701037357627,8,3,1962,914.8596468016126,3,1,0,LuxuryEstate,Ex,823208.7027749058,3.5,62
6592.240554129152,3,6,1952,942.9593208834563,3,1,2,Downtown,Fa,337746.2320251028,3.5,72
6522.110544359779,5,10,1975,1184.534583131105,3,0,3,LuxuryEstate,Fa,668097.2844912566,3.0,49
6010.2269132849215,1,5,2006,1028.9699082128775,1,1,0,Rural,Gd,266463.6003317715,1.5,18
5530.825733249706,10,6,1973,1226.0020906294312,1,0,3,Downtown,Ex,769778.7155905353,1.0,51
3169.2585158991715,7,4,2002,1392.9248446444055,2,0,2,Suburbs,Ex,521319.246988353,2.0,22
5158.709354469282,10,10,2019,1918.5772431656922,2,1,3,Downtown,Ex,968452.5764483694,2.5,5
5314.570966946461,1,6,1992,1339.4204806471487,2,0,0,Suburbs,Fa,291739.7750922027,2.0,32
4395.445461556762,9,7,2009,707.1871466152037,2,0,0,LuxuryEstate,Ex,1002327.5766443735,2.0,15
5677.428576667981,8,9,2007,2070.0339232475803,2,1,2,Rural,Ex,585826.1087095349,2.5,17
6808.101713629077,7,10,1998,1081.4549331924802,3,0,1,Downtown,Gd,586536.7395954309,3.0,26
9772.371802421061,10,7,1991,1470.6397864476855,3,0,1,Suburbs,Ex,786727.5705502178,3.0,33
6349.155625663678,7,6,2015,1723.2682534703558,3,1,3,LuxuryEstate,Fa,871676.4660256677,3.5,9
6515.100781445529,5,1,1960,1599.8052092013913,2,0,0,Rural,Ex,367087.31797875307,2.0,64
5851.108168467666,5,2,1967,2047.089773760738,3,0,0,Rural,Fa,310356.9127632434,3.0,57
2162.457569401917,5,1,2001,1739.5015716963794,3,1,2,Rural,Fa,283326.25158419035,3.5,23
5946.972249101566,1,9,1995,1069.345210151446,3,1,2,LuxuryEstate,TA,608576.2173702506,3.5,29
6120.4604198820525,8,10,1993,2589.281086995831,3,1,0,LuxuryEstate,Fa,972352.2655167523,3.5,31
10926.484224970573,1,10,1971,1597.1667316691166,1,0,2,LuxuryEstate,TA,721142.4038976484,1.0,53
5615.278070437755,4,9,2002,1426.329886689247,2,1,1,Rural,TA,279633.97601128917,2.5,22
6603.094684667225,9,7,2008,1981.9627115277854,2,0,1,Downtown,Ex,910884.6126989693,2.0,16
5930.576460589514,9,2,1979,1624.725472965036,1,1,3,Suburbs,TA,543403.0437348706,1.5,45
3662.643924760936,5,6,1957,1699.6140964696635,3,0,2,LuxuryEstate,Gd,770720.896128036,3.0,67
8285.645629030041,4,4,2006,2746.0919993003436,3,0,3,Downtown,Fa,634921.8175744625,3.0,18
7503.866065373548,3,1,2022,1362.4392858724766,3,1,2,Suburbs,Gd,475714.74620243773,3.5,2
7582.063894086094,3,1,1969,1341.119552991302,2,0,2,Rural,TA,303912.76518750127,2.0,55
4181.225090410522,5,5,1974,1558.2892560062319,2,0,1,Downtown,Ex,546310.6719851289,2.0,50
8805.588621872199,10,2,1968,2035.7579677905192,2,1,0,Rural,Fa,401136.2784389923,2.5,56
3196.2978744154384,1,4,1954,746.7329849048004,2,0,2,Suburbs,Gd,235973.2221487928,2.0,70
7173.714187600541,5,1,2021,517.2220542617474,2,0,2,LuxuryEstate,Ex,763981.6306156673,2.0,3
10380.911251619957,6,4,1976,1206.4423646899263,1,0,2,Rural,TA,352175.595271714,1.0,48
4018.927349738623,7,6,1989,683.0385204703564,2,1,0,Downtown,Ex,544663.5797592069,2.5,35
4867.404540794456,9,10,1975,1287.584326237181,3,1,3,LuxuryEstate,Gd,980209.2954010016,3.5,49
6199.302730175283,3,4,1976,1751.249848064645,2,1,3,Downtown,Ex,613648.6869556088,2.5,48
4993.048691767602,2,1,2011,1054.6255682238682,1,1,2,Suburbs,Gd,344935.39861105575,1.5,13
2898.6731378677346,3,7,1999,786.5867116093289,3,1,2,Suburbs,Ex,388629.4363102857,3.5,25
6137.125949612055,9,2,1991,1534.668580857674,1,1,3,LuxuryEstate,Fa,843061.2288665442,1.5,33
3875.39257254779,7,9,1978,1931.271742307585,3,1,3,Downtown,Ex,779279.158069295,3.5,46
6947.184861270363,9,3,1988,652.5132807416937,2,1,1,Downtown,Fa,462268.5037616533,2.5,36
4161.151531532394,2,8,2009,1910.116199152992,1,0,2,Downtown,Gd,531846.4045739784,1.0,15
9099.86881003508,5,8,1990,1908.653101869163,3,0,3,Downtown,Fa,549852.0736927545,3.0,34
4433.493415327526,4,3,1982,1977.0425510783139,2,0,1,Suburbs,Ex,504661.67712198594,2.0,42
5355.876967588649,2,4,1965,2109.240107435843,3,0,0,Downtown,Fa,441943.65620911046,3.0,59
7627.034434739339,9,2,1972,2601.0069623298077,1,1,2,Suburbs,Gd,645343.004915962,1.5,52
3538.2713671320894,9,4,1956,1321.9539756904724,1,0,3,Downtown,Ex,672978.5373185446,1.0,68
6454.919869208259,6,9,1975,1554.785790038929,1,0,2,Downtown,Fa,458388.3479331629,1.0,49
8614.285508564855,6,2,1961,1291.7807833759873,1,0,1,Rural,Fa,255049.6099664952,1.0,63
2785.0335308775448,8,3,2021,1500.9884223779054,2,0,3,Rural,TA,396950.4549725959,2.0,3
6369.267717064608,6,4,1954,2266.4366778181557,3,0,0,Downtown,Fa,511270.0444886395,3.0,70
6519.765588496847,1,5,2018,827.4927580346656,2,1,0,Suburbs,TA,288236.4543288103,2.5,6
7563.645743554621,4,1,1998,1069.4751639172123,1,1,1,Downtown,Gd,451421.29106011236,1.5,26
3526.098578243836,7,7,1975,2188.5904682522805,3,0,0,Rural,TA,377365.949481949,3.0,49
3359.0867738314473,2,10,1954,2010.018253451045,1,0,0,Downtown,Gd,406867.5978334673,1.0,70
7043.883131233795,9,7,1971,1318.434176591461,2,0,0,Rural,Fa,383556.716300484,2.0,53
6593.969346466372,8,9,1962,1927.20100056036,2,0,0,Downtown,Fa,506550.4499334462,2.0,62
6500.985700691753,8,4,1977,1670.6079212460165,2,1,0,LuxuryEstate,TA,873425.7743180923,2.5,47
6692.896418993952,7,6,1982,2250.137304500494,3,0,0,Downtown,Gd,678468.3365871627,3.0,42
4639.950556843019,4,2,1972,1537.2547969133864,3,1,0,Suburbs,Fa,297879.7629560863,3.5,52
6464.507394322007,2,4,1967,2012.8160569362913,1,0,3,Rural,TA,312397.62857258075,1.0,57
6586.144946597363,3,2,1979,2821.00595524631,3,1,0,LuxuryEstate,TA,905713.5486708384,3.5,45
4571.297163947264,6,10,1975,1799.0495775237332,3,1,3,Rural,TA,384504.53501479037,3.5,49
9731.549022289513,5,5,1965,1524.6640828974218,2,1,2,Rural,Fa,335288.26914220036,2.5,59
6947.665841823575,8,7,1988,1861.2234926104898,1,0,1,Suburbs,Gd,609013.8342459153,1.0,36
3617.3930055947026,6,1,1982,1317.3595708980574,2,0,0,Downtown,Fa,385612.962192525,2.0,42
7313.1072172676595,6,10,1975,2693.983852762366,1,1,1,Suburbs,Ex,668626.4512070795,1.5,49
4050.6366595453574,1,10,1997,1590.0355188479907,1,0,0,Downtown,Ex,505932.9593650919,1.0,27
7574.169207484904,4,7,2014,1363.5333398872435,3,0,3,LuxuryEstate,Fa,701959.6832148592,3.0,10
8317.191158014808,5,10,1987,1082.1554974899818,2,1,0,Suburbs,Gd,423745.53005910554,2.5,37
4358.635363296579,3,6,1951,2048.6100958032193,3,0,2,Suburbs,TA,359504.0772859733,3.0,73
7926.752258488644,9,6,1955,1933.5937064138693,3,1,1,Rural,Ex,622098.6598033331,3.5,69
6825.561853872997,1,8,1995,1251.3228142929534,3,0,1,Suburbs,Ex,471325.23185394314,3.0,29
7644.120319988981,6,8,1999,1788.2256725612115,1,0,2,Downtown,Fa,468804.79173656856,1.0,25
9793.585965307895,6,6,1987,745.7220158935718,2,1,3,Suburbs,Ex,505179.9015688675,2.5,37
5509.223767994259,10,3,1967,1592.4852875365782,2,1,3,Suburbs,Ex,728514.6172459594,2.5,57
4492.527671285021,5,5,1976,1726.3781760383472,3,1,2,LuxuryEstate,TA,772440.4508934619,3.5,48
4220.971140748953,5,2,1990,2353.6649047796113,1,1,1,Downtown,TA,512846.6897179014,1.5,34
4368.379430069123,10,5,2021,1114.5905986356552,2,0,0,Rural,Gd,461866.2286732049,2.0,3
5845.796581171791,5,9,2023,860.8236855988379,2,0,3,Downtown,Ex,557036.1241664601,2.0,1
6682.303949633288,6,10,1966,1052.2860195374792,3,0,0,LuxuryEstate,Gd,711115.5327617391,3.0,58
6553.381598660038,8,1,2011,831.71574984254,1,1,1,Downtown,Gd,574272.0529235919,1.5,13
7654.366498072048,2,10,1978,2168.3286788794917,3,0,0,Downtown,TA,504221.524840344,3.0,46
6026.003783755814,6,5,2007,2274.3196475120185,2,0,2,Suburbs,TA,489053.5566059997,2.0,17
8907.068154314635,1,6,2019,1660.1082889744143,1,0,3,Suburbs,Fa,384597.65532408014,1.0,5
5470.686333524088,4,7,1971,2110.647472842574,3,1,3,Downtown,TA,530631.5554106883,3.5,53
11440.338333179237,10,9,1955,1566.9791902901177,2,1,2,Downtown,Gd,785584.8864375781,2.5,69
7251.334695530012,3,6,1975,1452.444176149617,3,0,2,Rural,Ex,376201.5465087112,3.0,49
4285.684887167435,9,5,1988,1333.481190473119,3,0,3,LuxuryEstate,Gd,981883.098686531,3.0,36
3858.2150038777754,3,7,1961,1344.8045043112172,3,1,3,Suburbs,Gd,328698.8140993646,3.5,63
6964.944830486371,6,1,1963,726.0992218454844,1,1,3,Suburbs,Gd,363934.2017593831,1.5,61
5553.0744293482985,1,5,1971,1632.1273818036696,2,1,1,Suburbs,TA,336025.383708318,2.5,53
7428.000988184184,6,2,2000,1479.833044892978,2,1,1,Suburbs,Gd,460521.9523934522,2.5,24
6946.47524914709,4,4,1972,1872.6803620389378,2,0,1,Downtown,Fa,438827.38606633566,2.0,52
5854.342174686254,8,7,1997,1546.7617482193048,2,1,0,Downtown,Ex,764223.9766601999,2.5,27
4306.41256386319,9,5,2020,1418.6481492154542,1,0,1,Rural,TA,391231.7935797629,1.0,4
2970.305550628271,4,6,1999,1064.4034849961847,3,1,3,Suburbs,Gd,390521.0834029308,3.5,25
5106.970095865958,10,2,1962,1536.0766184108807,2,0,1,Suburbs,Fa,462375.85151147615,2.0,62
7712.797588646945,10,3,1959,1869.118615408081,1,0,3,Downtown,Ex,864395.5498429737,1.0,65
6428.187488260408,6,7,2004,928.3305044580696,3,1,2,Rural,Gd,398952.85070315364,3.5,20
3508.522442576024,1,2,1958,1543.7368768403696,1,0,0,Downtown,Ex,404698.906288838,1.0,66
6346.361851702364,4,6,2001,1616.521475764742,1,0,0,Suburbs,TA,389238.0901307033,1.0,23
6770.634759457674,7,5,1951,1140.9676081908678,2,0,2,Suburbs,TA,398687.4139582445,2.0,73
4232.285127597734,1,10,1974,1206.0718475459998,2,1,3,LuxuryEstate,Fa,497674.75582722033,2.5,50
6307.450211891056,8,1,1962,1615.3054243831073,3,1,0,LuxuryEstate,TA,849324.980704191,3.5,62
6116.417436891999,10,10,2000,933.2894908536886,3,1,1,LuxuryEstate,Fa,846495.2444322758,3.5,24
3714.0594043387537,6,4,2007,1674.9618576246962,2,0,3,Rural,Gd,363807.5710846063,2.0,17
6715.574720696566,5,2,1983,1052.3228131704,1,0,0,Downtown,Ex,494719.870472447,1.0,41
7121.569052736469,10,4,1984,2031.4268465166083,2,0,2,Suburbs,TA,598107.3571319444,2.0,40
8166.102486350554,9,1,1952,2668.91387269415,3,0,3,Suburbs,Ex,820233.2349458743,3.0,72
8107.6041040698055,2,2,2008,1069.6215991490901,1,1,0,Rural,Ex,311959.66543709865,1.5,16
3244.661264085818,5,8,2019,1767.1039311873374,1,0,2,Suburbs,Gd,481401.38067047176,1.0,5
4124.349920169754,6,6,1997,1136.6290475589904,1,0,3,Suburbs,Gd,441136.8974456245,1.0,27
7030.070534417319,7,2,2013,2020.4770868988949,2,0,1,Downtown,TA,648778.1563608436,2.0,11
7027.571901824418,5,6,1968,867.3707954573924,2,1,3,LuxuryEstate,Gd,704575.92563963,2.5,56
7030.095372612096,9,10,2016,1740.2933792138563,3,0,1,LuxuryEstate,Ex,1355760.1857150027,3.0,8
13705.462981309443,1,9,2022,1063.5055165553235,1,1,3,Rural,Fa,291046.5939576906,1.5,2
7141.781021386334,7,7,1954,1396.5077054508156,1,1,2,LuxuryEstate,Fa,643069.3598932566,1.5,70
8271.131280361198,10,9,2016,984.4873624263465,2,0,1,LuxuryEstate,Fa,890370.5779140639,2.0,8
7908.003526986405,7,5,1960,1911.1752354478767,3,0,1,Rural,TA,393099.3081146044,3.0,64
7302.782502611596,4,7,2017,1081.5098227802066,3,0,3,Rural,Gd,358092.9161956717,3.0,7
5369.4615107193085,9,7,2018,1775.9821296659138,1,0,0,LuxuryEstate,Gd,1074892.77047,1.0,6
7517.938440986535,5,3,1950,1327.9509858688334,2,1,1,Downtown,Gd,476005.1446320152,2.5,74
4454.349570924856,4,7,2012,1442.7638141005684,1,1,3,Rural,Gd,323188.3391145771,1.5,12
5526.362786519982,7,1,1978,1573.8779537000642,2,1,2,Suburbs,Ex,563778.6736230543,2.5,46
5029.272904341793,4,9,1961,1119.0876641705756,3,1,3,Rural,Fa,258224.94271662526,3.5,63
6163.748278772645,3,10,1990,1605.1835567704434,1,1,3,Suburbs,Ex,521537.247057294,1.5,34
10629.317133347016,9,6,1951,2265.1672821772054,1,1,1,Rural,TA,474081.52428607194,1.5,73
2265.469614816504,8,5,1986,1110.9526070836428,1,1,0,Rural,Fa,304517.7438941428,1.5,38
7372.520380749027,1,7,1994,2085.9050716369225,3,1,2,LuxuryEstate,Fa,764641.5950879441,3.5,30
2774.568257620697,7,5,1997,2249.048816743892,1,1,1,LuxuryEstate,Ex,1132373.0370434104,1.5,27
5056.136268421133,9,10,1973,1091.922505485978,3,1,1,LuxuryEstate,TA,810784.8906294263,3.5,51
8177.901193934732,8,5,1971,772.472697454724,2,0,1,Downtown,TA,454431.78778714826,2.0,53
6128.560038190925,8,10,1960,1650.9804500858822,3,0,2,LuxuryEstate,Fa,776953.8706323118,3.0,64
3844.510444141388,6,7,2007,1226.2962386165636,2,0,0,LuxuryEstate,Gd,754742.2309684023,2.0,17
4569.392581480064,4,10,1995,2434.301609581501,3,1,2,Rural,TA,429432.21100459935,3.5,29
7359.195497869352,8,7,1978,1517.403770249916,3,0,2,Rural,Ex,528174.5659720486,3.0,46
4539.266736565727,3,3,1984,1098.9002959824104,1,1,0,Downtown,TA,357913.6922413027,1.5,40
6432.91717916395,9,3,1964,926.4202444941443,3,1,2,Suburbs,Fa,404117.92689319246,3.5,60
6091.143679807627,2,10,2009,2044.9524795454151,1,0,3,Rural,Gd,392973.2650868547,1.0,15
4696.799304788366,2,3,1991,1214.4080129579067,2,1,2,Rural,TA,275594.17206448293,2.5,33
10287.888178650652,7,6,1992,1521.9143997302142,2,0,1,Suburbs,Fa,399671.4040665245,2.0,32
7267.8380446360225,10,6,2023,1977.9013725562404,1,1,2,Downtown,TA,755493.4451948509,1.5,1
1949.7148266847857,4,3,1998,1257.870824034585,2,1,1,Rural,Gd,302164.13067542703,2.5,26
6372.908629538855,10,3,2013,1477.0355856299198,3,0,2,LuxuryEstate,Ex,1388271.755681342,3.0,11
4676.427070463224,8,8,1981,1491.71579508874,1,0,1,Downtown,Fa,444720.41726756806,1.0,43
7704.866669592448,9,8,2013,1841.6622557580458,1,0,1,Suburbs,Fa,460090.955530009,1.0,11
4414.958523134599,7,7,1951,1795.372167755163,1,0,1,Suburbs,Gd,433989.86730150844,1.0,73
5770.527117066202,5,10,1973,1389.9431343725857,2,0,0,LuxuryEstate,Fa,573181.613206954,2.0,51
7009.974557960914,8,4,2015,1531.824530748259,2,0,2,LuxuryEstate,Gd,1008520.2943392146,2.0,9
7731.510388340243,4,4,1987,1314.1104942382558,3,1,2,LuxuryEstate,Fa,650418.0670982694,3.5,37
3599.4071858884477,2,3,1980,761.1937965402776,3,1,3,Downtown,Gd,381857.4909417021,3.5,44
5330.997528318103,6,5,1975,1628.8004286990647,1,1,3,Suburbs,TA,429103.7615676121,1.5,49
5050.109377678087,9,3,1978,2446.095880416534,3,1,3,LuxuryEstate,TA,1062780.8487745353,3.5,46
4693.341534852576,1,8,2016,1058.1404296544686,2,0,2,LuxuryEstate,TA,558259.7230089884,2.0,8
9530.908480562193,10,7,1974,1113.4851451986485,3,1,0,Suburbs,Fa,474649.3864258434,3.5,50
6809.9634219219115,7,3,1997,1064.6361141781294,2,1,1,Rural,Gd,377579.1187813375,2.5,27
3478.2320913299095,10,9,2014,1862.2958893615612,3,0,2,Downtown,Gd,807740.4012722817,3.0,10
7835.723894109552,9,5,2002,1724.24272709822,2,1,0,Rural,Ex,583810.1710744879,2.5,22
10244.312394025266,10,9,2016,1420.7311537917717,2,0,0,LuxuryEstate,TA,1063360.871935595,2.0,8
8064.930521102294,9,7,1967,1040.9904691805175,3,0,2,Downtown,Ex,745754.7605751572,3.0,57
2961.260068091973,10,7,1958,1546.1883958199621,3,0,1,Rural,TA,386018.5668418979,3.0,66
5031.531854267498,3,6,1987,717.6889363320978,2,1,0,Suburbs,Ex,359973.3583907671,2.5,37
8533.822298373245,5,2,1970,1571.7132834287465,1,0,2,LuxuryEstate,TA,698907.4166331013,1.0,54
4584.661068762439,8,9,2014,1935.762193043967,3,1,1,Downtown,Gd,737618.8634932592,3.5,10
6887.638856292457,8,6,1970,874.4004316831611,2,1,3,Downtown,TA,510936.7828402417,2.5,54
