BHK,SqftArea,Bathrooms,Balconies,CityTier,LocationType,Furnishing,PropertyAge,PowerBackup,SalePrice_INR,PricePerSqft
2,1102.6170840194586,1,1,Tier 1 (Metro),Tech Park,Semi-Furnished,7,Yes,19103826.46988295,17325.89377287919
2,1145.0191573695995,1,2,Tier 1 (Metro),City Center,Semi-Furnished,19,No,20999099.305368263,18339.517876372076
3,1654.8534861344874,3,3,Tier 2,Tech Park,Unfurnished,7,Yes,14570388.40598714,8804.639521303838
2,871.7036809554096,2,2,Tier 2,Tech Park,Semi-Furnished,2,Yes,8713713.158848787,9996.187178306203
3,1629.5767634021822,2,2,Tier 2,City Center,Fully Furnished,9,Yes,16813700.220695473,10317.832579787359
3,1740.1228575683044,3,0,Tier 1 (Metro),City Center,Fully Furnished,12,Yes,34725737.556243986,19955.911391665006
1,575.4291329813574,1,0,Tier 1 (Metro),Suburbs,Fully Furnished,8,Yes,8191067.493773511,14234.711147374046
3,1856.674011442393,3,0,Tier 2,Tech Park,Unfurnished,5,Yes,16810389.84918537,9054.034119929267
2,1141.6607694402128,2,3,Tier 1 (Metro),Suburbs,Semi-Furnished,14,No,14767770.12025556,12935.33991493515
1,535.1448207541583,1,2,Tier 2,Suburbs,Fully Furnished,15,Yes,4839245.160609333,9042.870215560672
4,2428.060095326571,3,0,Tier 2,Outskirts,Semi-Furnished,4,Yes,13906622.7046088,5727.462319147573
5,2486.73937037547,3,0,Tier 2,Suburbs,Fully Furnished,20,Yes,17045007.48708849,6854.360247859382
3,1235.4376046316847,2,0,Tier 1 (Metro),Suburbs,Semi-Furnished,12,Yes,18178307.745327592,14714.063807979202
2,967.3866072112472,1,3,Tier 3,Suburbs,Fully Furnished,18,Yes,4776359.617702157,4937.384476999637
1,425.5097355193551,2,3,Tier 1 (Metro),Suburbs,Fully Furnished,1,Yes,7913934.087438347,18598.71449892682
3,1297.4465175076857,2,2,Tier 3,City Center,Fully Furnished,5,Yes,10780730.596647361,8309.190745955737
2,971.0962658568965,2,2,Tier 1 (Metro),Tech Park,Fully Furnished,0,Yes,18791819.83482344,19351.140041962284
2,841.5160158000077,1,2,Tier 1 (Metro),Outskirts,Fully Furnished,14,Yes,9257039.673801312,11000.431958506317
2,938.4076940721919,2,0,Tier 3,City Center,Fully Furnished,14,Yes,6379403.88204512,6798.115491105885
1,350.0,2,1,Tier 1 (Metro),Outskirts,Fully Furnished,13,Yes,4365014.523780706,12471.470067944876
4,2085.3174829491754,2,3,Tier 2,Outskirts,Fully Furnished,6,Yes,11821498.02134617,5668.920017218448
2,1000.2410950724449,2,0,Tier 3,City Center,Fully Furnished,4,Yes,8214265.152228403,8212.285210730584
3,1254.8734106795428,2,0,Tier 3,Suburbs,Semi-Furnished,19,No,5056684.914436528,4029.637468928613
2,1131.849133686481,1,2,Tier 3,City Center,Semi-Furnished,24,No,6169829.895043248,5451.106257375352
3,1781.2710412879674,4,2,Tier 1 (Metro),Outskirts,Unfurnished,15,Yes,17966479.13574381,10086.325280824727
3,1017.7320406893078,3,0,Tier 2,Outskirts,Fully Furnished,16,Yes,6620367.128484478,6505.019851787822
2,847.4550442867571,1,3,Tier 1 (Metro),Suburbs,Semi-Furnished,10,Yes,11636836.339959007,13731.508731242384
5,2115.428825106351,4,3,Tier 1 (Metro),City Center,Semi-Furnished,14,Yes,41960877.79985087,19835.636775792416
3,1218.0290696673405,3,0,Tier 3,Tech Park,Semi-Furnished,19,No,6803249.417594331,5585.457348281832
4,2331.7899367726995,2,1,Tier 1 (Metro),Outskirts,Semi-Furnished,15,No,23620728.737871304,10129.869918970247
4,1922.4695444908787,3,1,Tier 2,City Center,Semi-Furnished,2,No,20636154.239065107,10734.190457373468
3,1420.6455476068168,2,3,Tier 2,Suburbs,Semi-Furnished,5,No,9750481.736327624,6863.416249572623
4,1198.4550542372986,2,2,Tier 2,Suburbs,Unfurnished,20,No,6825266.509167469,5695.054215872196
1,563.5418030209227,1,1,Tier 3,Tech Park,Semi-Furnished,22,Yes,1766972.684106442,3135.477571733644
2,752.1483210293055,1,1,Tier 1 (Metro),Outskirts,Unfurnished,12,Yes,7873994.300665866,10468.672309060537
1,505.9932630266328,2,2,Tier 2,Tech Park,Unfurnished,0,No,5454189.466699253,10779.17408242681
2,1055.4753875916383,1,1,Tier 3,Tech Park,Fully Furnished,20,Yes,5526116.075275934,5235.665502239053
2,1272.1317191677301,1,0,Tier 1 (Metro),Tech Park,Fully Furnished,13,Yes,22025795.113343786,17314.083739499692
2,738.2359201761776,2,1,Tier 1 (Metro),Tech Park,Fully Furnished,1,Yes,15513549.36943293,21014.351842606997
3,594.1463532537525,3,2,Tier 2,Suburbs,Semi-Furnished,1,No,6172533.858142682,10388.911459844423
2,1036.769908950739,1,0,Tier 1 (Metro),Outskirts,Fully Furnished,14,Yes,11530469.539029725,11121.531826380953
2,1360.1022363021707,2,1,Tier 1 (Metro),Tech Park,Semi-Furnished,17,Yes,23001024.624951825,16911.246824714242
3,1871.6839058818314,2,3,Tier 3,Outskirts,Semi-Furnished,8,No,6659952.364531538,3558.267688044123
2,1041.9318830549253,1,0,Tier 2,Suburbs,Fully Furnished,2,No,8156600.586581012,7828.343406352063
3,1352.5091443103856,4,0,Tier 3,Suburbs,Fully Furnished,3,No,8427413.816387467,6230.947755021958
1,580.7122596637311,2,3,Tier 3,City Center,Unfurnished,14,Yes,3336340.251993057,5745.255410872517
5,2013.2269001477657,4,3,Tier 2,City Center,Unfurnished,4,Yes,21777206.57804918,10817.065168586207
3,1642.907330806866,3,1,Tier 1 (Metro),Outskirts,Semi-Furnished,19,No,16206598.607452074,9864.58475384164
2,1101.0940318333253,2,1,Tier 1 (Metro),City Center,Semi-Furnished,19,Yes,19377412.62498579,17598.326813852887
1,606.0209907498879,1,2,Tier 1 (Metro),Tech Park,Fully Furnished,4,Yes,10791420.963139318,17807.008548971313
3,2327.8980116733233,2,2,Tier 3,Outskirts,Fully Furnished,9,Yes,8190003.577531948,3518.1969040150807
3,1617.7247901536302,4,0,Tier 1 (Metro),Suburbs,Unfurnished,15,Yes,21409242.497248046,13234.168523321496
3,1347.3109122877504,2,3,Tier 1 (Metro),Suburbs,Fully Furnished,24,Yes,17761630.22833076,13183.022616636643
3,1492.3277063424016,3,3,Tier 2,Tech Park,Semi-Furnished,11,Yes,13481768.588776091,9034.053667621725
1,350.0,1,2,Tier 1 (Metro),City Center,Fully Furnished,24,Yes,5683035.866142692,16237.245331836262
2,861.0573737821884,2,0,Tier 1 (Metro),Outskirts,Unfurnished,13,No,8509484.881768012,9882.599163386942
2,918.1435123773792,1,0,Tier 2,Outskirts,Semi-Furnished,21,Yes,4289777.053932471,4672.229336811203
4,1790.364640826163,4,2,Tier 1 (Metro),Tech Park,Unfurnished,10,Yes,30565850.87982257,17072.41652500352
3,1545.7064616101165,2,2,Tier 1 (Metro),City Center,Unfurnished,18,Yes,28648977.05446525,18534.552171453342
2,835.5160135235599,1,2,Tier 1 (Metro),Outskirts,Semi-Furnished,5,Yes,9232896.783669906,11050.532406593493
1,612.1030667324471,2,1,Tier 2,Tech Park,Unfurnished,9,No,5670295.057319768,9263.627917417833
2,1000.0414129836395,1,0,Tier 2,Outskirts,Fully Furnished,19,Yes,5950057.729525698,5949.811330086428
2,998.1399357722771,2,0,Tier 1 (Metro),Suburbs,Fully Furnished,2,No,14958451.37737749,14986.326907963954
3,1401.6315850461247,4,0,Tier 2,Outskirts,Unfurnished,21,Yes,6442343.796917522,4596.317510000688
3,1546.5572051576937,4,2,Tier 1 (Metro),Outskirts,Fully Furnished,14,Yes,17142395.128097672,11084.229584866704
4,2330.039305867054,4,2,Tier 3,Outskirts,Unfurnished,10,Yes,8863905.785196641,3804.187235330009
2,826.5739568578199,1,2,Tier 1 (Metro),City Center,Fully Furnished,21,Yes,15514508.172747217,18769.6552063228
2,868.3767021849487,2,2,Tier 2,City Center,Unfurnished,1,Yes,8343406.903853541,9608.050150194545
3,1408.8821913670006,3,3,Tier 3,Tech Park,Fully Furnished,24,Yes,8377378.49428223,5946.117103058762
3,1096.2387229580356,2,2,Tier 3,City Center,Semi-Furnished,23,Yes,6562498.663179525,5986.377351706395
3,1254.2226420835505,2,1,Tier 1 (Metro),Outskirts,Semi-Furnished,5,No,13606552.459297536,10848.594183161884
3,1357.1337379366023,4,3,Tier 1 (Metro),Outskirts,Fully Furnished,16,No,13273449.945037115,9780.502520862963
2,1174.8778361425454,1,3,Tier 2,City Center,Unfurnished,17,Yes,10458813.861574752,8902.043718786952
3,1578.7683987005776,2,2,Tier 1 (Metro),City Center,Fully Furnished,3,Yes,31286346.893650018,19816.9325655369
2,1038.7179822735088,1,0,Tier 3,Outskirts,Unfurnished,22,Yes,2960124.0734548024,2849.786105537317
1,585.0897962167973,1,2,Tier 2,Outskirts,Fully Furnished,8,No,3793849.70004313,6484.217849250219
2,972.5256423201207,1,0,Tier 2,Suburbs,Fully Furnished,9,Yes,7295821.46820843,7501.932237799964
1,539.046484992889,2,2,Tier 1 (Metro),Tech Park,Semi-Furnished,20,Yes,8640865.311175484,16029.907534392833
3,1469.033474120251,2,2,Tier 2,City Center,Unfurnished,1,Yes,14832264.135750484,10096.614132385901
2,1053.0724698799256,1,0,Tier 2,Tech Park,Unfurnished,10,Yes,8750153.022870867,8309.165107951767
3,1325.1724027165253,4,0,Tier 3,Outskirts,Unfurnished,10,Yes,5972904.227379745,4507.265783029924
4,1024.4731366894284,3,0,Tier 1 (Metro),Tech Park,Unfurnished,10,Yes,17000543.84665752,16594.42618631715
2,973.1441675627392,1,0,Tier 1 (Metro),City Center,Unfurnished,0,No,19222840.9619626,19753.33316758875
2,1284.549627219988,1,1,Tier 1 (Metro),City Center,Semi-Furnished,13,No,24373983.44530659,18974.7308541567
3,1777.864620672478,4,0,Tier 1 (Metro),Tech Park,Fully Furnished,0,Yes,32392153.277054884,18219.696202066578
2,1193.079496918234,1,2,Tier 2,City Center,Unfurnished,20,Yes,10966266.38537781,9191.563859494743
1,623.6130721806218,1,2,Tier 3,Suburbs,Unfurnished,22,Yes,1000000.0,1603.558431678229
2,1017.7315181922875,1,1,Tier 1 (Metro),Outskirts,Fully Furnished,24,No,9030653.36133008,8873.315997298074
2,1039.463141481119,2,0,Tier 3,Outskirts,Semi-Furnished,8,No,3160454.9112891327,3040.4684737410093
4,1752.93924182626,2,2,Tier 1 (Metro),City Center,Semi-Furnished,23,Yes,34422754.10987895,19637.163278983007
3,1405.178143191885,4,1,Tier 1 (Metro),Outskirts,Semi-Furnished,0,Yes,16050400.021119524,11422.323994209573
3,1684.7313449313426,3,2,Tier 1 (Metro),Suburbs,Fully Furnished,20,Yes,22239937.36762343,13200.880623806384
4,2481.5537748675265,4,1,Tier 1 (Metro),City Center,Fully Furnished,21,Yes,48502891.93761076,19545.37210873055
3,1458.1661172957001,2,1,Tier 3,Suburbs,Semi-Furnished,21,Yes,6650782.383397963,4561.0594736163775
2,909.9621470297177,1,3,Tier 1 (Metro),Suburbs,Semi-Furnished,3,No,12848208.539629532,14119.497807209264
4,2000.211183542639,2,3,Tier 2,Outskirts,Fully Furnished,0,Yes,14024892.432720419,7011.705837920812
3,1680.3620246787343,2,0,Tier 1 (Metro),Outskirts,Semi-Furnished,18,Yes,16780361.92556502,9986.15874384166
3,1066.8435551599375,3,3,Tier 3,Tech Park,Unfurnished,9,No,6514963.772247135,6106.765833412598
4,1081.5276187451047,3,1,Tier 1 (Metro),Suburbs,Fully Furnished,14,Yes,15738416.865551837,14552.024925459697
2,889.8926301016833,2,2,Tier 1 (Metro),Outskirts,Semi-Furnished,19,No,8046363.930994875,9041.949173211447
2,755.8575148171683,1,2,Tier 1 (Metro),Suburbs,Unfurnished,3,Yes,9897300.472899685,13094.135176116768
2,898.3719604705378,1,0,Tier 1 (Metro),Tech Park,Fully Furnished,19,No,14918476.461392034,16606.12432024061
2,970.4439362365057,2,3,Tier 1 (Metro),Suburbs,Fully Furnished,13,Yes,13922283.256060781,14346.303517597331
3,1364.025477293096,2,0,Tier 3,City Center,Unfurnished,4,Yes,9677471.063446958,7094.787615442394
4,2580.987013788298,4,1,Tier 2,Tech Park,Fully Furnished,14,Yes,22428008.67940667,8689.702257156066
1,532.674476460232,2,3,Tier 2,Tech Park,Semi-Furnished,14,Yes,5112833.489536927,9598.420265061523
3,1590.1423078832483,4,0,Tier 2,Suburbs,Fully Furnished,24,Yes,10027612.268988907,6306.109974733881
2,1124.4414288086805,2,2,Tier 1 (Metro),Suburbs,Semi-Furnished,15,No,13321608.671869855,11847.312212592335
2,772.2333764438462,2,2,Tier 1 (Metro),Outskirts,Unfurnished,15,No,6563236.932337367,8499.032977001378
2,1207.8223574840538,1,0,Tier 3,City Center,Unfurnished,3,Yes,7676717.786342175,6355.83348724651
2,984.847142692908,2,0,Tier 3,Tech Park,Fully Furnished,24,Yes,5614318.174055413,5700.700068747677
4,2268.192246896485,2,0,Tier 3,Tech Park,Unfurnished,8,No,13214247.433636935,5825.893925754171
2,785.6285533919689,1,1,Tier 3,Tech Park,Unfurnished,0,No,5175424.955126319,6587.62328937932
3,1033.8723701951808,4,1,Tier 1 (Metro),Outskirts,Fully Furnished,4,Yes,13469020.559067206,13027.740122820423
3,1745.3668974075085,2,2,Tier 1 (Metro),City Center,Semi-Furnished,8,No,33879961.8958094,19411.36957858729
2,1075.2819052195034,1,1,Tier 1 (Metro),Tech Park,Fully Furnished,19,Yes,18460875.66568975,17168.405397765182
5,2048.9742228212444,3,1,Tier 1 (Metro),Tech Park,Fully Furnished,4,Yes,38051492.52044683,18570.99620709406
5,2065.168459362653,2,3,Tier 1 (Metro),Outskirts,Semi-Furnished,3,Yes,22433123.057518043,10862.611694370587
2,1225.086956882954,1,1,Tier 1 (Metro),Suburbs,Semi-Furnished,15,No,15782098.38881508,12882.431161433808
2,762.1176214265345,1,3,Tier 2,Tech Park,Semi-Furnished,1,Yes,7623608.4908624785,10003.19147140645
2,1328.5345906511927,1,1,Tier 3,City Center,Fully Furnished,15,Yes,9433256.60832755,7100.4975517451585
2,819.8758530704263,1,2,Tier 2,City Center,Semi-Furnished,17,Yes,6793138.0838457,8285.56916075217
1,563.8391925608383,1,0,Tier 3,City Center,Unfurnished,1,Yes,3460279.0328023573,6136.996289822461
3,1401.4144572753048,2,2,Tier 1 (Metro),City Center,Semi-Furnished,15,Yes,27180887.216458194,19395.32382825887
3,1680.9562293247031,4,1,Tier 1 (Metro),Outskirts,Unfurnished,0,Yes,17914502.24538921,10657.328211684648
1,445.5885997885807,2,0,Tier 2,Tech Park,Semi-Furnished,15,Yes,3317236.5236359867,7444.617131609566
2,967.4414187855411,1,0,Tier 1 (Metro),Outskirts,Unfurnished,2,Yes,10260000.009890877,10605.293313543025
4,2016.3676701582885,3,0,Tier 1 (Metro),City Center,Unfurnished,14,No,39366900.58138604,19523.671780700424
2,799.5625088437055,2,3,Tier 1 (Metro),City Center,Unfurnished,10,Yes,15487966.751536507,19370.551495635493
2,1148.1648690840252,2,2,Tier 1 (Metro),City Center,Unfurnished,9,No,21616160.64001393,18826.70444119991
2,897.357286705683,2,3,Tier 2,Outskirts,Unfurnished,16,Yes,3962351.1017961246,4415.578009448654
5,2385.700042329991,4,0,Tier 1 (Metro),City Center,Semi-Furnished,3,Yes,48047303.15378402,20139.708388007857
2,801.1301250782975,2,2,Tier 2,Tech Park,Fully Furnished,16,Yes,6881812.224579364,8590.130378515947
3,731.2999023614068,4,2,Tier 2,City Center,Fully Furnished,3,Yes,9075190.714464176,12409.670348867676
3,1442.6916712199493,4,1,Tier 1 (Metro),Tech Park,Fully Furnished,18,Yes,25278478.71543471,17521.747175582615
2,1482.5230843225831,1,3,Tier 1 (Metro),Tech Park,Fully Furnished,24,No,23606647.26694345,15923.291526843346
3,1735.381286369407,3,3,Tier 1 (Metro),City Center,Fully Furnished,0,No,36121538.48904372,20814.75625717598
2,996.1479240531211,1,1,Tier 1 (Metro),Outskirts,Unfurnished,13,Yes,8815188.741968539,8849.276828386439
3,1421.1327512375196,4,3,Tier 2,Suburbs,Semi-Furnished,23,Yes,8955754.72990118,6301.842471860933
3,1506.739767843614,3,0,Tier 2,Suburbs,Unfurnished,10,No,11046892.217391059,7331.6523882560905
3,1664.135734552563,4,0,Tier 2,Tech Park,Semi-Furnished,24,Yes,13110453.970961066,7878.235950798858
1,381.9187184691155,2,3,Tier 1 (Metro),Outskirts,Semi-Furnished,6,Yes,4462221.359599896,11683.69379088378
3,1834.2965084006617,2,1,Tier 2,Suburbs,Semi-Furnished,16,No,11097857.058991285,6050.1979958886795
2,1143.0762630882489,1,2,Tier 2,City Center,Semi-Furnished,3,No,10913472.611403748,9547.45799892548
2,1143.6371451415869,1,3,Tier 1 (Metro),City Center,Fully Furnished,9,Yes,23816851.962948594,20825.532000361858
1,543.8475738809727,1,2,Tier 2,Tech Park,Semi-Furnished,16,Yes,4127530.8225901606,7589.499375965807
3,1505.884997308197,3,1,Tier 1 (Metro),Outskirts,Semi-Furnished,3,Yes,16684511.26888316,11079.538808545869
3,1701.8583707900461,4,2,Tier 2,Outskirts,Fully Furnished,18,No,8310204.550997096,4883.01770207781
1,559.1814133741378,2,1,Tier 2,Suburbs,Unfurnished,17,No,2734459.174298978,4890.1109888454075
3,1393.7877867176928,2,1,Tier 1 (Metro),Suburbs,Unfurnished,16,Yes,18601058.30696807,13345.688980940722
2,885.2796454206198,2,0,Tier 2,City Center,Unfurnished,5,No,9442255.339199843,10665.844841280155
3,1530.556888578596,3,0,Tier 1 (Metro),Tech Park,Unfurnished,6,No,26705716.05420527,17448.365528579892
2,1309.8040302990375,1,1,Tier 1 (Metro),Outskirts,Semi-Furnished,5,Yes,13114669.995255774,10012.696320885196
3,1128.2678773038297,2,3,Tier 3,Suburbs,Fully Furnished,24,No,5169633.2178118145,4581.920057996734
2,706.494946849512,2,0,Tier 3,Suburbs,Fully Furnished,11,Yes,4759772.267636351,6737.163922915098
4,2065.9043364946065,3,1,Tier 1 (Metro),Tech Park,Unfurnished,8,Yes,34773723.675492905,16832.20421256117
2,1010.1775403712036,2,2,Tier 1 (Metro),Tech Park,Fully Furnished,17,Yes,16854745.235291168,16684.933649482704
2,1034.6683328740817,1,2,Tier 1 (Metro),City Center,Semi-Furnished,1,No,21344109.902260754,20628.938978901093
2,1048.7906395817001,1,3,Tier 1 (Metro),Tech Park,Unfurnished,24,Yes,16580870.781538589,15809.514459579566
4,1910.719098146078,2,2,Tier 3,City Center,Semi-Furnished,16,Yes,12190023.072065772,6379.809090668241
4,2595.945375440833,2,2,Tier 3,City Center,Semi-Furnished,20,No,16773182.982279584,6461.300434502105
2,679.8192043046969,2,1,Tier 2,Tech Park,Semi-Furnished,0,Yes,7450241.4931534445,10959.151265480028
3,1251.450892565926,3,2,Tier 1 (Metro),Tech Park,Semi-Furnished,22,No,21026581.481499877,16801.763142609452
3,1469.023571955286,2,2,Tier 2,Tech Park,Semi-Furnished,8,Yes,12941123.19953426,8809.336655033716
3,1007.0433566537498,4,2,Tier 1 (Metro),Tech Park,Unfurnished,5,Yes,18787046.29386389,18655.6479120128
3,1447.2436786703786,3,2,Tier 3,Tech Park,Semi-Furnished,1,Yes,10647581.516328782,7357.144946116468
2,1332.2940331456036,1,1,Tier 3,City Center,Unfurnished,5,No,8518096.731145766,6393.556166452365
1,502.0886488295962,2,2,Tier 2,Suburbs,Fully Furnished,8,Yes,4421408.16606422,8806.030919780464
4,2092.2803622874735,4,3,Tier 1 (Metro),Outskirts,Semi-Furnished,2,Yes,22590867.58169274,10797.246864657433
4,1495.934093930968,2,0,Tier 1 (Metro),Outskirts,Semi-Furnished,15,No,16150201.604945766,10796.06492723672
3,1315.0915775881567,3,3,Tier 1 (Metro),City Center,Fully Furnished,24,Yes,25597831.11011506,19464.6757278005
2,924.9607239352126,2,0,Tier 3,City Center,Unfurnished,23,No,4188752.181022685,4528.573022216324
2,936.4569806487532,2,3,Tier 1 (Metro),Suburbs,Semi-Furnished,14,No,11747799.30117204,12544.942847276838
3,1884.4931385011305,2,0,Tier 1 (Metro),Tech Park,Fully Furnished,11,Yes,32786398.801214427,17397.99319582121
4,2223.07642429005,4,0,Tier 1 (Metro),City Center,Fully Furnished,22,Yes,43959348.54132754,19774.105856646907
4,1555.4168172251873,4,0,Tier 3,Outskirts,Semi-Furnished,7,Yes,6798337.029100302,4370.749341149797
3,1573.9514335296017,3,0,Tier 1 (Metro),Tech Park,Unfurnished,5,Yes,28400540.796327252,18044.102372738882
3,1649.4665245490355,4,1,Tier 3,City Center,Unfurnished,2,No,12151136.794322021,7366.707122258298
1,614.0149038521266,2,3,Tier 3,Tech Park,Semi-Furnished,22,No,2526105.486515765,4114.078454232648
2,1316.1081373136747,1,0,Tier 3,Outskirts,Fully Furnished,3,Yes,6099729.640029306,4634.672081337892
4,1593.9623232688525,3,3,Tier 1 (Metro),Tech Park,Semi-Furnished,9,Yes,28311517.236794416,17761.722986484376
3,1256.7427466368986,3,2,Tier 1 (Metro),City Center,Unfurnished,13,Yes,24589784.93047815,19566.283550298216
1,374.2422141085384,2,0,Tier 1 (Metro),City Center,Fully Furnished,20,Yes,7725939.499053076,20644.222398738762
2,953.1960281786037,2,3,Tier 1 (Metro),Outskirts,Semi-Furnished,23,Yes,8732248.470447727,9161.02062147025
3,1639.9075123339003,3,1,Tier 1 (Metro),Suburbs,Fully Furnished,14,Yes,22882369.01342011,13953.45093629954
1,598.7334516589102,1,3,Tier 2,Suburbs,Unfurnished,6,Yes,3775476.9482771745,6305.772523343174
2,984.8097952714954,1,0,Tier 1 (Metro),Tech Park,Unfurnished,6,Yes,17000979.437317956,17263.211148941784
3,1404.0457430235467,4,2,Tier 3,City Center,Unfurnished,7,No,9622314.286021572,6853.276920522809
3,1545.527397674622,3,3,Tier 1 (Metro),City Center,Semi-Furnished,9,Yes,31486902.82267393,20372.917924359455
3,1249.4571295109931,2,2,Tier 2,Outskirts,Fully Furnished,18,No,6305683.462439911,5046.738550291679
2,1417.9077443389547,2,1,Tier 2,Outskirts,Semi-Furnished,18,Yes,6518095.127394632,4596.981117719648
3,1017.7016918645825,3,3,Tier 2,City Center,Semi-Furnished,1,No,11401835.02055387,11203.513870222614
2,1036.948115779145,2,3,Tier 3,Outskirts,Semi-Furnished,14,Yes,3633868.653500551,3504.3881156677976
2,1404.7212438459278,2,1,Tier 2,Suburbs,Semi-Furnished,0,No,10589575.347797034,7538.5599770700965
3,1502.0399533679993,3,1,Tier 3,Suburbs,Fully Furnished,9,No,8049830.931103676,5359.26551957135
3,1442.9882894995517,2,1,Tier 1 (Metro),Tech Park,Fully Furnished,5,Yes,26845521.96963825,18604.11630848969
3,1392.7663731568719,2,0,Tier 2,Outskirts,Semi-Furnished,21,Yes,6358211.136140839,4565.167036399071
3,1445.8824954712777,3,0,Tier 1 (Metro),Tech Park,Semi-Furnished,12,No,24880279.286379613,17207.67722433075
3,1911.854542402959,2,3,Tier 1 (Metro),Outskirts,Unfurnished,9,No,18535743.34037144,9695.164003990785
1,350.0,2,3,Tier 1 (Metro),Outskirts,Unfurnished,11,No,3291736.391265733,9404.961117902094
2,1306.6867402592652,1,3,Tier 1 (Metro),Suburbs,Fully Furnished,23,No,16225609.38975243,12417.367445339683
2,715.208569509971,2,2,Tier 1 (Metro),City Center,Unfurnished,5,Yes,14532629.655962717,20319.428870825508
2,946.6695341531171,2,1,Tier 1 (Metro),Outskirts,Fully Furnished,5,Yes,11669264.365937235,12326.65037264188
5,2285.3777898506687,2,3,Tier 1 (Metro),Outskirts,Fully Furnished,0,Yes,25298245.844322465,11069.612191328553
2,1117.710653954144,1,1,Tier 3,Outskirts,Fully Furnished,11,No,4746389.540671431,4246.527957732217
4,1360.750259246501,2,0,Tier 1 (Metro),City Center,Unfurnished,22,Yes,25629587.4045345,18834.8943756414
3,1638.6517998245831,3,1,Tier 2,Tech Park,Unfurnished,22,Yes,13037826.638711935,7956.435064549789
3,2107.2928869860557,4,2,Tier 1 (Metro),Tech Park,Fully Furnished,9,No,36045721.74941168,17105.226317622073
3,1091.047798622157,3,2,Tier 3,Outskirts,Fully Furnished,24,No,3641884.8227131013,3337.9700021505014
3,1556.9118502831186,3,1,Tier 3,Outskirts,Semi-Furnished,13,Yes,6129664.028062923,3937.0655615141386
2,867.6035644406782,1,2,Tier 2,Tech Park,Fully Furnished,14,Yes,8774632.38629883,10113.642619663062
2,1085.1774412386071,2,2,Tier 2,Tech Park,Fully Furnished,22,Yes,9014785.976891022,8307.199941976001
3,1505.7443332247258,3,0,Tier 1 (Metro),Suburbs,Semi-Furnished,23,Yes,20149138.323242426,13381.513633254533
2,871.7026181911381,1,3,Tier 3,Outskirts,Fully Furnished,3,No,4625269.5004188735,5306.017676093169
1,548.7872284871074,1,2,Tier 3,Tech Park,Fully Furnished,24,Yes,2260151.4658954893,4118.447639764246
3,2041.3044329360227,3,3,Tier 3,Suburbs,Fully Furnished,0,No,12034895.99304444,5895.68895205629
